Family_01,Romance_02,Drama_03,Horror_04,Historical_05,Crime_06,Erotic_07,Independent_08,Biographical_09,Musical_10,SciFi_11,Action_12,Comedy_13,Adventure_14,Western_15,Documentary_16,War_17,Thriller_18,Classics_19,Animation_20,Mystery_21,Romance_01,Horror_02,Erotica_03,Art_04,Academic_05,Mystery_06,Crime_07,History_08,Philosophy_09,Poetry_10,Entertainment_11,Comics_12,Architecture_13,Computers_14,Sports_15,News_16,Reference_17,Business_18,Cooking_19,Literature_20,Thriller_21,Adventure_22,Nature_23,Health_24,SciFi_25,Fantasy_26,Medical_27,IPIP_01_E,IPIP_02_A,IPIP_03_C,IPIP_04_N,IPIP_05_O,IPIP_06R_E,IPIP_07R_A,IPIP_08R_C,IPIP_09R_N,IPIP_10R_O,IPIP_11_E,IPIP_12_A,IPIP_13_C,IPIP_14_N,IPIP_15R_O,IPIP_16R_E,IPIP_17R_A,IPIP_18R_C,IPIP_19R_N,IPIP_20R_O,Gender,Age,IPIP_O,IPIP_C,IPIP_E,IPIP_N,IPIP_A,IPIP_O_ordinal,IPIP_C_ordinal,IPIP_E_ordinal,IPIP_N_ordinal,IPIP_A_ordinal,Max,Highest_Scoring_Trait
2,5,5,1,4,2,2,4,4,3,5,4,4,4,3,5,4,5,4,5,4,5,3,3,4,3,4,3,4,4,5,4,5,5,3,3,4,4,4,3,5,4,4,5,4,4,4,3,1,4,2,5,3,1,5,1,5,4,2,5,4,5,1,1,5,1,5,1,1,19,9,8,5,20,19,Low,Low,Extremely Low,Extremely High,Extremely High,20,N
4,3,4,5,4,5,4,4,3,5,5,4,5,5,2,3,1,4,4,5,5,4,5,4,4,4,5,5,3,2,3,4,4,3,2,2,1,3,1,5,1,5,4,4,3,5,4,1,3,4,2,4,3,5,4,2,4,2,4,4,4,4,1,3,5,1,3,2,1,20,8,9,15,15,17,Low,Low,High,High,Very High,17,A
4,3,3,2,1,5,3,1,1,1,4,4,4,3,1,4,5,3,2,4,4,3,4,3,2,2,3,4,1,2,2,2,3,1,1,1,4,3,1,1,4,3,3,2,1,3,3,2,2,4,2,4,3,1,5,2,4,3,3,4,3,5,4,2,5,2,4,3,1,20,13,9,8,17,18,Neither high nor low,Low,Low,Very High,Very High,18,A
4,4,5,5,3,5,4,3,3,2,4,4,5,4,2,4,2,4,3,5,4,4,5,4,3,3,5,5,3,3,2,5,4,3,3,4,2,2,2,4,4,5,5,3,5,4,4,3,4,4,2,2,2,2,5,2,2,2,2,3,2,2,4,4,5,2,2,1,1,20,9,8,12,8,17,Low,Low,Neither high nor low,Low,Very High,17,A
3,4,4,1,4,4,2,3,4,4,5,5,5,5,3,4,3,4,5,4,5,5,4,5,4,4,5,5,4,4,4,4,4,3,3,3,3,3,3,3,5,5,5,4,3,5,3,3,3,4,4,5,3,2,5,3,4,5,2,3,5,4,3,3,5,5,4,4,1,20,15,17,10,17,17,High,Very High,Low,Very High,Very High,17,C
4,3,4,1,1,1,1,4,4,2,2,4,4,4,1,4,1,4,1,4,4,2,1,1,4,4,4,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,4,4,4,2,2,4,4,4,2,4,4,2,2,4,2,4,4,2,4,1,27,12,14,12,12,16,Neither high nor low,High,Neither high nor low,Neither high nor low,High,16,A
4,3,3,1,2,1,2,1,2,1,5,5,5,4,1,4,2,3,1,5,4,3,1,3,2,4,4,1,2,4,2,4,3,3,3,1,3,4,1,3,1,3,4,4,5,4,3,3,3,4,4,5,3,1,5,2,4,3,5,5,3,4,4,4,5,4,4,3,1,26,13,13,13,17,19,Neither high nor low,Neither high nor low,Neither high nor low,Very High,Extremely High,19,A
3,4,5,5,2,5,4,3,1,1,2,4,4,4,1,1,1,4,2,1,5,4,4,4,3,1,4,4,3,4,1,4,2,3,3,1,1,3,1,1,2,4,4,3,4,2,5,3,3,4,2,3,4,1,4,5,3,4,3,4,4,3,2,2,4,5,4,3,1,22,13,16,9,13,16,Neither high nor low,High,Low,Neither high nor low,High,16,C
4,5,4,4,2,3,5,2,2,4,4,4,4,4,2,3,1,3,3,4,3,5,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,5,4,3,4,3,4,4,2,3,3,5,4,4,4,3,1,5,4,4,3,1,20,12,13,15,15,17,Neither high nor low,Neither high nor low,High,High,Very High,17,A
2,3,3,2,4,5,2,3,4,2,4,5,1,1,4,5,2,4,5,4,4,3,2,1,4,5,4,4,5,4,4,3,3,3,1,4,3,5,1,2,4,4,2,4,1,1,5,1,4,5,4,5,4,4,5,2,4,5,5,5,3,3,4,4,5,3,5,4,1,25,17,12,17,17,20,Very High,Neither high nor low,Very High,Very High,Extremely High,20,A
4,4,4,1,3,1,2,4,4,4,3,3,5,3,2,3,2,2,4,5,2,4,2,2,2,3,2,2,3,2,3,3,4,2,2,3,3,3,2,2,4,2,2,2,2,3,2,2,3,4,4,3,3,4,4,3,4,3,4,4,3,2,3,2,4,3,2,3,1,21,12,13,13,11,16,Neither high nor low,Neither high nor low,Neither high nor low,Neither high nor low,High,16,A
3,3,4,3,4,4,3,3,5,2,5,5,3,5,3,3,4,4,5,1,4,3,3,3,4,4,3,2,3,4,5,3,1,1,1,1,1,1,1,1,4,4,3,3,1,1,1,1,4,4,4,5,4,5,4,3,4,4,4,3,3,4,3,4,3,4,5,3,1,21,14,14,17,18,14,High,High,Very High,Very High,High,18,N
4,5,4,4,2,5,5,2,2,3,2,4,5,5,1,5,2,4,3,5,5,4,3,5,3,3,3,5,2,2,2,5,4,3,2,4,3,3,2,4,3,4,4,5,4,3,3,2,4,4,3,3,5,5,4,4,3,4,5,4,5,4,3,4,5,4,4,2,1,21,14,16,18,14,17,High,High,Very High,High,Very High,18,E
4,4,4,2,1,1,1,4,2,4,1,2,5,4,1,2,2,1,1,5,1,4,1,2,4,4,1,1,4,1,1,4,4,1,1,1,4,1,1,4,4,1,4,1,4,1,1,1,5,5,2,1,4,5,2,4,2,5,4,5,4,1,3,4,5,4,1,5,1,25,17,14,18,5,17,Very High,High,Very High,Extremely Low,Very High,18,E
4,4,3,3,4,5,3,5,4,4,4,5,5,5,4,5,4,5,5,5,5,4,5,3,4,4,5,5,3,3,2,5,5,2,5,5,4,5,3,5,5,5,5,5,4,5,5,5,4,4,2,5,4,3,5,2,4,5,5,4,4,1,4,5,5,4,1,4,1,21,17,12,17,11,18,Very High,Neither high nor low,Very High,Neither high nor low,Very High,18,A
4,5,4,4,1,5,5,3,3,4,4,4,4,5,3,3,3,4,4,4,5,5,5,4,3,1,5,5,1,1,3,4,5,1,1,1,3,3,1,4,4,5,5,5,4,5,5,3,4,4,2,5,5,4,5,2,3,4,3,5,4,4,2,3,5,4,4,5,1,21,16,12,14,16,19,High,Neither high nor low,High,High,Extremely High,19,A
3,5,4,4,2,5,3,3,2,1,1,2,4,2,1,2,1,4,2,1,4,4,4,3,3,4,5,5,2,3,3,3,3,2,1,1,3,3,2,4,5,4,3,2,5,2,4,3,4,4,2,4,4,4,4,4,3,4,3,4,5,3,3,3,4,5,3,3,1,22,14,16,14,13,16,High,High,High,Neither high nor low,High,16,C
4,5,4,1,2,4,1,3,4,1,3,4,5,5,1,4,2,4,1,5,4,5,3,1,4,1,4,4,3,4,4,4,4,3,2,2,2,2,4,4,4,4,4,3,4,3,3,3,3,5,4,4,4,1,4,2,2,3,2,4,3,4,2,2,5,2,4,5,1,22,14,11,8,14,18,High,Neither high nor low,Low,High,Very High,18,A
3,2,4,4,1,5,3,3,1,2,4,5,5,5,4,1,4,4,3,5,5,1,4,3,3,4,4,5,4,3,2,4,4,5,3,3,4,3,2,4,5,5,5,3,4,5,4,4,4,4,2,3,4,5,3,5,3,4,5,4,5,3,2,4,3,4,3,5,0,22,15,16,18,12,14,High,High,Very High,Neither high nor low,High,18,E
3,4,3,3,3,2,4,3,3,4,4,5,4,5,2,2,1,4,3,4,4,4,2,3,2,4,4,4,3,2,2,4,3,2,2,3,4,4,2,5,4,5,5,3,4,4,4,3,4,4,4,5,4,4,5,4,4,3,4,4,4,5,3,2,5,4,4,3,1,21,13,16,14,18,18,Neither high nor low,High,High,Very High,Very High,18,N
3,3,4,5,4,4,4,2,3,4,4,3,4,3,2,5,2,4,2,5,4,4,5,4,3,2,5,5,3,3,3,4,5,3,3,2,3,4,3,5,5,4,4,3,3,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,3,2,4,5,4,2,4,1,22,14,16,16,13,18,High,High,High,Neither high nor low,Very High,18,A
4,5,5,4,3,2,3,2,2,4,4,3,4,4,3,4,3,3,3,5,3,5,3,5,4,4,4,2,4,3,3,4,4,2,2,1,2,4,2,3,4,3,4,3,3,4,3,2,3,4,4,2,4,3,5,3,4,3,3,4,5,3,2,3,5,4,4,4,1,21,13,16,12,13,18,Neither high nor low,High,Neither high nor low,Neither high nor low,Very High,18,A
4,3,2,2,3,2,5,2,3,3,4,5,5,5,5,5,5,5,4,3,3,3,5,4,3,2,4,3,4,3,1,2,3,4,5,2,4,5,2,3,5,4,3,2,1,2,3,4,5,4,4,4,5,5,5,4,4,5,2,3,4,5,4,3,4,4,4,2,0,22,16,16,15,17,16,High,High,High,Very High,High,17,N
4,5,4,4,5,5,5,3,5,5,3,4,4,3,2,2,2,5,3,5,4,4,4,4,3,3,3,4,4,2,4,4,4,2,2,2,2,2,2,4,4,3,3,3,4,3,3,3,5,4,3,3,4,5,5,4,4,4,4,4,5,4,3,5,5,4,4,3,1,21,14,16,19,15,18,High,High,Extremely High,High,Very High,19,E
5,5,5,4,3,5,5,2,3,1,4,3,3,2,1,5,2,4,4,2,5,4,4,5,1,2,5,5,4,3,1,2,4,2,2,1,4,4,3,5,3,4,3,3,4,3,3,3,4,5,2,5,3,5,5,3,4,3,3,5,5,4,3,3,5,4,4,3,1,21,12,14,15,17,20,Neither high nor low,High,High,Very High,Extremely High,20,A
3,5,5,5,2,5,3,5,4,1,3,1,5,1,1,5,1,5,5,5,5,2,5,4,5,5,4,5,4,5,5,2,4,4,1,1,5,5,1,5,5,1,1,5,5,2,2,5,3,5,4,5,5,3,5,5,4,4,5,5,5,3,2,2,5,2,4,5,1,22,16,16,13,16,20,High,High,Neither high nor low,High,Extremely High,20,A
5,5,4,1,2,4,3,4,2,4,4,4,5,5,3,4,3,4,3,5,4,5,3,4,5,4,4,4,3,2,4,5,5,4,4,2,2,2,2,5,5,5,5,4,5,4,3,4,4,5,2,4,5,2,4,2,4,2,5,3,5,1,4,3,5,5,2,3,1,23,14,14,14,11,17,High,High,High,Neither high nor low,Very High,17,A
5,1,2,5,4,5,3,4,4,5,5,5,5,5,3,3,5,5,4,5,5,3,4,3,4,4,5,5,3,5,5,5,5,3,3,5,4,3,3,4,5,5,5,5,4,5,5,3,4,5,2,3,3,4,5,2,3,3,4,4,3,4,2,2,4,2,4,4,1,21,12,9,14,14,18,Neither high nor low,Low,High,High,Very High,18,A
5,5,4,5,2,3,4,4,2,3,2,4,5,5,3,4,2,5,5,5,5,5,5,4,2,3,5,4,2,1,1,4,5,2,5,4,4,3,1,5,5,5,5,3,2,1,3,4,3,5,2,2,2,2,5,1,3,2,3,4,5,4,2,1,5,5,4,5,1,23,11,13,9,13,19,Neither high nor low,Neither high nor low,Low,Neither high nor low,Extremely High,19,A
4,5,5,5,2,3,4,4,2,4,2,2,4,4,2,2,4,4,5,5,4,5,5,4,2,3,4,4,2,3,2,4,5,2,3,1,4,3,2,5,4,2,2,2,1,1,4,3,4,4,4,5,2,5,5,4,3,1,4,5,4,3,3,4,5,4,3,3,1,21,9,16,17,14,19,Low,High,Very High,High,Extremely High,19,A
5,5,4,1,3,5,4,4,3,4,4,5,5,5,1,4,2,4,1,5,5,4,1,4,2,4,4,4,1,1,1,5,5,1,3,2,5,5,1,5,5,5,5,4,4,4,4,3,5,5,3,3,2,3,5,5,2,1,3,4,5,3,2,2,5,5,5,4,1,21,9,18,13,13,19,Low,Very High,Neither high nor low,Neither high nor low,Extremely High,19,A
